Tarih,Saat,CPU,Eşik
2025-12-06,23:21:53,13.4,10.0
2025-12-06,23:21:58,12.8,10.0
2025-12-06,23:21:59,16.7,10.0
2025-12-06,23:22:00,10.6,10.0
2025-12-06,23:22:01,15.6,10.0
