Tarih,Saat,CPU,Eşik
025-12-06,22:31:47,13.7,10.0
2025-12-06,22:31:51,11.1,10.0
2025-12-06,22:31:53,10.5,10.0
2025-12-06,22:31:54,15.2,10.0
2025-12-06,22:47:53,15.3,10.0
2025-12-06,22:47:54,11.1,10.0
2025-12-06,22:48:11,10.6,10.0
2025-12-06,22:48:12,14.6,10.0
2025-12-06,22:48:14,13.9,10.0
2025-12-06,22:48:15,12.0,10.0
2025-12-06,22:48:16,11.5,10.0
