Tarih,Saat,CPU,RAM,ALARM
2025-12-06,19:12:09,10.1,62.2,1
2025-12-06,19:12:10,11.4,62.3,1
2025-12-06,19:12:11,12.9,62.3,1
2025-12-06,19:12:12,8.5,62.3,0
2025-12-06,19:12:13,5.4,61.9,0
2025-12-06,19:12:14,7.6,61.9,0
2025-12-06,19:12:15,6.1,61.9,0
2025-12-06,19:12:16,4.9,61.8,0
2025-12-06,19:12:18,4.1,61.4,0
2025-12-06,19:24:42,4.1,61.7,0
2025-12-06,19:24:43,12.2,61.7,1
2025-12-06,19:24:44,8.1,61.7,0
2025-12-06,19:24:45,7.6,61.8,0
2025-12-06,19:24:46,6.9,61.8,0
2025-12-06,19:24:47,6.5,61.7,0
2025-12-06,19:24:48,9.1,61.8,0
2025-12-06,19:24:49,9.1,61.7,0
2025-12-06,19:24:50,6.6,61.7,0
2025-12-06,19:24:52,12.7,61.7,1
2025-12-06,19:24:53,10.3,61.8,1
2025-12-06,19:24:54,7.0,61.8,0
2025-12-06,19:24:55,6.5,61.8,0
2025-12-06,19:24:56,8.5,61.7,0
2025-12-06,19:24:57,7.1,61.7,0
2025-12-06,19:24:58,7.0,61.7,0
2025-12-06,19:24:59,9.5,61.7,0
2025-12-06,19:25:00,8.3,61.8,0
2025-12-06,19:25:01,6.5,61.7,0
2025-12-06,19:25:02,13.6,61.8,1
2025-12-06,19:25:03,10.2,61.8,1
2025-12-06,19:25:04,10.9,62.7,1
