Tarih,Saat,CPU,Eşik
2025-12-06,19:12:09,10.1,10.0
2025-12-06,19:12:10,11.4,10.0
2025-12-06,19:12:11,12.9,10.0
2025-12-06,19:24:43,12.2,10.0
2025-12-06,19:24:52,12.7,10.0
2025-12-06,19:24:53,10.3,10.0
2025-12-06,19:25:02,13.6,10.0
2025-12-06,19:25:03,10.2,10.0
2025-12-06,19:25:04,10.9,10.0
