Tarih,Saat,RAM,RAM_Eşik
2025-12-07,15:05:26,48.0,48.0
2025-12-07,15:05:45,48.2,48.0
2025-12-07,15:05:46,48.2,48.0
2025-12-07,15:05:56,48.0,48.0
