Tarih,Saat,CPU,CPU_Eşik
2025-12-07,15:05:26,6.3,6.0
2025-12-07,15:05:27,6.1,6.0
2025-12-07,15:05:46,9.9,6.0
2025-12-07,15:05:47,11.6,6.0
2025-12-07,15:05:48,8.6,6.0
2025-12-07,15:05:49,10.1,6.0
2025-12-07,15:05:50,12.5,6.0
2025-12-07,15:05:51,9.2,6.0
2025-12-07,15:05:52,8.8,6.0
2025-12-07,15:05:53,8.6,6.0
2025-12-07,15:05:54,10.1,6.0
2025-12-07,15:05:55,8.1,6.0
2025-12-07,15:05:56,11.1,6.0
